i,j,delta,beta,priority,integral,max_delta,pi
1,2,600,0.04,0.05,2738.6,1.0884,-0.0036542
1,2,600,0.05,0.05,2646,1.084,0.00041444
1,2,600,0.06,0.05,2559.4,1.0592,0.023298
1,2,600,0.07,0.05,2491.9,1.0338,0.046659
1,2,600,0.08,0.05,2452.4,1.0087,0.069887
1,2,600,0.09,0.05,2401.8,0.9835,0.093081
1,2,600,0.11,0.05,2259.8,0.94198,0.13136
1,2,600,0.12,0.05,2217.3,0.94076,0.13249
1,2,600,0.13,0.05,2177.2,0.94076,0.13249
1,2,600,0.14,0.05,2138.7,0.94076,0.13249
1,2,600,0.15,0.05,2102,0.94076,0.13249
1,2,600,0.16,0.05,2067,0.94089,0.13237
1,2,600,0.17,0.05,2036.8,0.9411,0.13218
1,2,600,0.18,0.05,2010.1,0.94112,0.13216
1,2,600,0.19,0.05,1979.3,0.94107,0.13221
1,2,600,0.2,0.05,1946.6,0.94103,0.13224
1,2,660,0.01,0.05,2903.7,1.0853,-0.00075532
1,2,660,0.02,0.05,2858.7,1.0866,-0.0019582
1,2,660,0.03,0.05,2801,1.0878,-0.0031113
1,2,660,0.04,0.05,2720.8,1.0891,-0.0042892
1,2,660,0.05,0.05,2605,1.084,0.00041444
1,2,660,0.06,0.05,2495.4,1.0592,0.023298
1,2,660,0.07,0.05,2431.1,1.0338,0.046659
1,2,660,0.08,0.05,2390.6,1.0087,0.069887
1,2,660,0.1,0.05,2244.2,0.94121,0.13208
1,2,660,0.11,0.05,2198.9,0.94198,0.13136
1,2,660,0.12,0.05,2157.4,0.94076,0.13249
1,2,660,0.16,0.05,2014.4,0.94089,0.13237
1,2,660,0.17,0.05,1984,0.9411,0.13218
1,2,660,0.18,0.05,1958.1,0.94112,0.13216
1,2,660,0.19,0.05,1937.4,0.94107,0.13221
1,2,660,0.2,0.05,1918.4,0.94103,0.13224
1,2,720,0.01,0.05,2901.9,1.0845,-8.9642e-05
1,2,720,0.02,0.05,2854.3,1.0858,-0.0012523
1,2,720,0.03,0.05,2791.9,1.0871,-0.0024402
1,2,720,0.04,0.05,2701.4,1.0888,-0.0040443
1,2,720,0.05,0.05,2558,1.084,0.00041444
1,2,720,0.08,0.05,2328.8,1.0087,0.069887
1,2,720,0.09,0.05,2274.2,0.9835,0.093081
1,2,720,0.11,0.05,2134.8,0.94198,0.13136
1,2,720,0.12,0.05,2093.4,0.94076,0.13249
1,2,720,0.13,0.05,2054.7,0.94076,0.13249
1,2,720,0.15,0.05,1984.9,0.94076,0.13249
1,2,720,0.17,0.05,1925.4,0.9411,0.13218
1,2,720,0.18,0.05,1898.9,0.94112,0.13216
1,2,720,0.19,0.05,1878.9,0.94107,0.13221
1,3,60,0.01,0.05,2963.6,1.0933,-0.008178
1,3,60,0.02,0.05,2984,1.1036,-0.017624
1,3,60,0.07,0.05,3166.1,1.0774,0.0064914
1,3,60,0.08,0.05,3164.8,1.0522,0.029719
1,3,60,0.09,0.05,3113.3,1.0271,0.052913
1,3,60,0.1,0.05,2883.7,0.89852,0.17144
1,3,60,0.11,0.05,2855.3,0.89762,0.17228
1,3,60,0.12,0.05,2823.5,0.89849,0.17147
1,3,60,0.13,0.05,2791,0.89951,0.17053
1,3,60,0.14,0.05,2762.9,0.90046,0.16965
1,3,60,0.15,0.05,2738.1,0.89901,0.17099
1,3,60,0.16,0.05,2715.8,0.89764,0.17225
1,3,60,0.17,0.05,2695.3,0.89659,0.17322
1,3,60,0.2,0.05,2642.1,0.89571,0.17403
1,3,120,0.01,0.05,2960.1,1.0933,-0.0081966
1,3,120,0.02,0.05,2976.6,1.1036,-0.01764
1,3,120,0.03,0.05,2992.7,1.114,-0.027289
1,3,120,0.04,0.05,3008.1,1.1247,-0.037149
1,3,120,0.05,0.05,3020.3,1.128,-0.040168
1,3,120,0.06,0.05,3064.6,1.1027,-0.01687
1,3,120,0.07,0.05,3085.1,1.0774,0.0064914
1,3,120,0.08,0.05,3068.9,1.0522,0.029719
1,3,120,0.09,0.05,3007.6,1.0271,0.052913
1,3,120,0.1,0.05,2764,0.89484,0.17484
1,3,120,0.11,0.05,2716,0.89484,0.17484
1,3,120,0.12,0.05,2664.2,0.89484,0.17484
1,3,120,0.15,0.05,2531.3,0.89491,0.17478
1,3,120,0.16,0.05,2500.6,0.89532,0.1744
1,3,120,0.17,0.05,2472.6,0.89564,0.1741
1,3,120,0.18,0.05,2446.6,0.89577,0.17398
1,3,120,0.2,0.05,2398.8,0.89566,0.17408
1,3,180,0.01,0.05,2956.9,1.0933,-0.0081967
1,3,180,0.05,0.05,2963.2,1.128,-0.040168
1,3,180,0.06,0.05,2986.2,1.1027,-0.01687
1,3,180,0.09,0.05,2858.7,1.0271,0.052913
1,3,180,0.11,0.05,2548.8,0.89493,0.17476
1,3,180,0.12,0.05,2485,0.89484,0.17484
1,3,180,0.13,0.05,2420.9,0.89484,0.17484
1,3,180,0.16,0.05,2275.6,0.89532,0.1744
1,3,180,0.17,0.05,2232.8,0.89564,0.1741
1,3,180,0.18,0.05,2192.3,0.89577,0.17398
1,3,180,0.19,0.05,2154.5,0.89574,0.17401
1,3,180,0.2,0.05,2118.8,0.89566,0.17408
1,3,240,0.02,0.05,2951.5,1.1036,-0.017641
1,3,240,0.07,0.05,2881.8,1.0774,0.0064914
1,3,240,0.1,0.05,2505.1,0.89484,0.17484
1,3,240,0.11,0.05,2432.9,0.89484,0.17484
1,3,240,0.14,0.05,2213.4,0.89484,0.17484
1,3,240,0.15,0.05,2152.9,0.89491,0.17478
1,3,240,0.17,0.05,2050.6,0.89564,0.1741
1,3,240,0.18,0.05,2004.2,0.89577,0.17398
1,3,240,0.2,0.05,1919.5,0.89566,0.17408
1,3,300,0.01,0.05,2939.1,1.0933,-0.0081968
1,3,300,0.03,0.05,2923.5,1.114,-0.02729
1,3,300,0.04,0.05,2910,1.1247,-0.03715
1,3,300,0.06,0.05,2862.1,1.1027,-0.01687
1,3,300,0.07,0.05,2826.6,1.0774,0.0064914
1,3,300,0.08,0.05,2765.9,1.0522,0.029719
1,3,300,0.09,0.05,2667.8,1.0271,0.052913
1,3,300,0.1,0.05,2410.2,0.89484,0.17484
1,3,300,0.11,0.05,2331.4,0.89484,0.17484
1,3,300,0.12,0.05,2254.2,0.89484,0.17484
1,3,300,0.13,0.05,2180.3,0.89484,0.17484
1,3,300,0.14,0.05,2115.6,0.89484,0.17484
