i,j,delta,beta,priority,integral,max_delta,pi
1,2,240,0.1,0.05,2613.265339033779,0.9407586254740125,0.13249355262928794
1,2,240,0.11,0.05,2538.635645767402,0.9407586254740125,0.13249355262928794
1,2,240,0.12,0.05,2461.8920820231297,0.9407586254740125,0.13249355262928794
1,2,240,0.13,0.05,2384.4666898256055,0.9407586254740125,0.13249355262928794
1,2,240,0.14,0.05,2313.2604882863548,0.9407586254740125,0.13249355262928794
1,2,240,0.15,0.05,2250.2607068743296,0.9407586254740123,0.13249355262928805
1,2,240,0.16,0.05,2195.062606921337,0.9408928249079763,0.13236980263535247
1,2,240,0.17,0.05,2143.9543445885406,0.9410998809104077,0.13217886905025186
1,2,240,0.18,0.05,2095.902414924604,0.9411225547334541,0.13215796072462338
1,2,240,0.19,0.05,2050.5215258347407,0.9410700367125332,0.13220638942941368
1,2,240,0.2,0.05,2009.06675748777,0.9410284239070574,0.13224476205344912
1,2,300,0.01,0.05,2917.440017649283,1.0845371349147015,-8.964199228934172e-05
1,2,300,0.02,0.05,2889.302629055745,1.0857979816489023,-0.0012523128851704719
1,2,300,0.03,0.05,2858.6098785959275,1.0870861970275894,-0.002440221362810044
1,2,300,0.04,0.05,2824.323618203314,1.0884026820336823,-0.0036541982530852246
1,2,300,0.05,0.05,2784.521894128346,1.0844399235594357,-2.0475509993787276e-16
1,2,300,0.06,0.05,2772.645205597427,1.0591747378773626,0.023297911791319438
1,2,300,0.07,0.05,2760.033519807721,1.0338406809605178,0.04665933215814925
1,2,300,0.08,0.05,2714.552079724856,1.008651657128032,0.06988701244292561
1,2,300,0.09,0.05,2642.062985779012,0.9834992235057256,0.09308095161453875
1,2,300,0.1,0.05,2514.4981330023547,0.9407586254740123,0.13249355262928805
1,2,300,0.11,0.05,2435.00872648694,0.9407586254740123,0.13249355262928805
1,2,300,0.12,0.05,2357.433506400848,0.9407586254740123,0.13249355262928805
1,2,300,0.13,0.05,2282.9716187248437,0.9407586254740123,0.13249355262928805
1,2,300,0.14,0.05,2215.9964631704274,0.9407586254740123,0.13249355262928805
1,2,300,0.15,0.05,2157.716134630331,0.9407586254740122,0.13249355262928816
1,2,300,0.16,0.05,2105.999405288673,0.9408928249079763,0.13236980263535247
1,2,300,0.17,0.05,2059.798854066217,0.9410998809104077,0.13217886905025186
1,2,300,0.18,0.05,2018.3746466229961,0.941122554733454,0.13215796072462346
1,2,300,0.19,0.05,1981.7321236643074,0.9410700367125333,0.13220638942941357
1,2,300,0.2,0.05,1950.7926662041527,0.9410284239070574,0.13224476205344912
1,2,360,0.01,0.05,2909.1922191618255,1.0846845413073218,-0.0002255705849369756
1,2,360,0.02,0.05,2871.4012876089428,1.0857979816738021,-0.001252312908131504
1,2,360,0.03,0.05,2829.1713986615564,1.0870861970300245,-0.002440221365055593
1,2,360,0.04,0.05,2780.650418996229,1.0884026820337955,-0.0036541982531896494
1,2,360,0.05,0.05,2728.9717007251184,1.0844399235594357,-2.0475509993787276e-16
1,2,360,0.06,0.05,2717.8054428971523,1.0591747378773626,0.023297911791319438
1,2,360,0.07,0.05,2683.6992962621252,1.0338406809605178,0.04665933215814925
1,2,360,0.08,0.05,2629.288749902814,1.008651657128032,0.06988701244292561
1,2,360,0.09,0.05,2555.8585319955923,0.9834992235057256,0.09308095161453875
1,2,360,0.1,0.05,2442.0784488861395,0.9407586254740123,0.13249355262928805
1,2,360,0.11,0.05,2376.278907791959,0.9407586254740123,0.13249355262928805
1,2,360,0.12,0.05,2313.264968767845,0.9407586254740123,0.13249355262928805
1,2,360,0.13,0.05,2251.1585079331776,0.9407586254740123,0.13249355262928805
1,2,360,0.14,0.05,2190.336716978614,0.9407586254740123,0.13249355262928805
1,2,360,0.15,0.05,2136.0201511305654,0.9407586254740122,0.13249355262928816
1,2,360,0.16,0.05,2087.7298264917154,0.9408928249079763,0.13236980263535247
1,2,360,0.17,0.05,2047.0582644027866,0.9410998809104077,0.13217886905025186
1,2,360,0.18,0.05,2012.3439795843697,0.941122554733454,0.13215796072462346
1,2,360,0.19,0.05,1981.6838951883053,0.9410700367125333,0.13220638942941357
1,2,360,0.2,0.05,1954.6719609092954,0.9410284239070574,0.13224476205344912
1,2,420,0.01,0.05,2905.24617351681,1.0847443957659397,-0.0002807644756427259
1,2,420,0.02,0.05,2862.2790705396083,1.085797981678338,-0.001252312912314241
1,2,420,0.03,0.05,2812.5688917729167,1.0870861970301402,-0.002440221365162271
1,2,420,0.04,0.05,2753.646885328817,1.0884026820337966,-0.0036541982531906733
1,2,420,0.05,0.05,2691.5790649580636,1.0844399235593443,8.41543460744657e-14
1,2,420,0.06,0.05,2671.9349430569164,1.0591747378773624,0.023297911791319643
1,2,420,0.07,0.05,2610.248188629177,1.033840680960518,0.04665933215814904
1,2,420,0.08,0.05,2557.06353248862,1.008651657128032,0.06988701244292561
1,2,420,0.09,0.05,2486.5953643477164,0.9834992235057258,0.09308095161453854
1,2,420,0.1,0.05,2366.0254318821676,0.9430526953516635,0.13037811052151194
1,2,420,0.11,0.05,2296.154936397053,0.9409216874856435,0.1323431874425325
1,2,420,0.12,0.05,2233.918508896098,0.9428456663330543,0.1305690192238858
1,2,420,0.13,0.05,2172.7212614908212,0.9409874024539182,0.13228258937080256
1,2,420,0.14,0.05,2112.0647722751846,0.9417637027892727,0.13156673566743976
1,2,420,0.15,0.05,2060.605779497694,0.9407586254740123,0.13249355262928805
1,2,420,0.16,0.05,2015.8946311107495,0.9408928249079763,0.13236980263535247
1,2,420,0.17,0.05,1982.0271389546097,0.9410998809104077,0.13217886905025186
1,2,420,0.18,0.05,1952.6502996132524,0.9411225547334541,0.13215796072462338
1,2,420,0.19,0.05,1926.2682258878312,0.9410700367125332,0.13220638942941368
1,2,420,0.2,0.05,1902.0133974560135,0.9410284239070573,0.1322447620534492
1,2,480,0.01,0.05,2906.588861315387,1.0857381032949527,-0.0011970969597432084
1,2,480,0.02,0.05,2865.020355553181,1.0870636601681045,-0.002419439336074195
1,2,480,0.03,0.05,2815.307269026999,1.0883389738475326,-0.0035954507053736475
1,2,480,0.04,0.05,2753.82083731849,1.0896299029587992,-0.004785861610783154
1,2,480,0.05,0.05,2685.2747012810623,1.0844399210628608,2.3021789132737678e-09
1,2,480,0.06,0.05,2642.9738053807946,1.0591747378773624,0.023297911791319643
1,2,480,0.07,0.05,2576.0400380709216,1.0338406809605178,0.04665933215814925
1,2,480,0.08,0.05,2529.762755833892,1.008651657128032,0.06988701244292561
1,2,480,0.09,0.05,2468.1286136668223,0.9834992235057257,0.09308095161453865
1,2,480,0.1,0.05,2359.7592863007144,0.9439876727747782,0.12951593512313128
1,2,480,0.11,0.05,2292.6857185201966,0.9427031785633746,0.13070041218220851
1,2,480,0.12,0.05,2227.081415078044,0.9418312799288534,0.13150442042238783
1,2,480,0.13,0.05,2161.588230081844,0.9422139233332267,0.13115157154984042
1,2,480,0.14,0.05,2095.217502880798,0.9422873640357884,0.13108384930818723
1,2,480,0.15,0.05,2028.0784490915546,0.9420379735569732,0.13131382099532013
1,2,480,0.16,0.05,1961.5110393966893,0.9416360424223919,0.13168445575880436
1,2,480,0.17,0.05,1914.5042511693607,0.9427789302158976,0.13063055893273168
1,2,480,0.18,0.05,1883.7204371115467,0.9444323982761393,0.12910583817658822
1,2,480,0.19,0.05,1856.963877444191,0.945231371707859,0.12836907681769508
1,2,480,0.2,0.05,1832.8568598854656,0.9432059848917194,0.13023675687275219
1,2,540,0.01,0.05,2906.6760734741024,1.0849657133758537,-0.0004848491880420306
1,2,540,0.02,0.05,2865.4620983551868,1.0857979816792551,-0.0012523129131598797
1,2,540,0.03,0.05,2814.9465112991106,1.0870861970301435,-0.002440221365165342
1,2,540,0.04,0.05,2750.297659325129,1.0884026820337966,-0.0036541982531906733
1,2,540,0.05,0.05,2672.719242622914,1.0843716071746416,6.29969289305051e-05
1,2,540,0.06,0.05,2610.0761116663016,1.0591747378773624,0.023297911791319643
1,2,540,0.07,0.05,2542.2636377209524,1.0338406809605178,0.04665933215814925
1,2,540,0.08,0.05,2502.1531601923816,1.008651657128032,0.06988701244292561
1,2,540,0.09,0.05,2451.127879850888,0.9834992235057257,0.09308095161453865
1,2,540,0.1,0.05,2354.2969327818014,0.9464812492868295,0.12721652096668204
1,2,540,0.11,0.05,2304.056861015016,0.9449275502367849,0.1286492412274273
1,2,540,0.12,0.05,2255.4300960776113,0.941802410087176,0.13153104231360577
1,2,540,0.13,0.05,2203.7329791250695,0.9445233688146741,0.129021951059784
1,2,540,0.14,0.05,2149.8085047184427,0.9475317262821414,0.12624783937124248
1,2,540,0.15,0.05,2094.869386716991,0.9437049800903015,0.1297766159394082
1,2,540,0.16,0.05,2040.11732307922,0.9439345487727611,0.12956492262429484
1,2,540,0.17,0.05,1994.4444495757652,0.9475558000699909,0.1262256400890818
1,2,540,0.18,0.05,1950.4766402467178,0.943655270767875,0.12982245464503542
1,2,540,0.19,0.05,1906.801202611113,0.9448711005477447,0.12870129546096648
1,2,540,0.2,0.05,1862.3943820258896,0.9473364320707525,0.1264279269972568
1,2,600,0.01,0.05,2905.3719475827315,1.0845371350601751,-8.964212643566922e-05
1,2,600,0.02,0.05,2862.696052786148,1.0857979816793146,-0.001252312913214754
1,2,600,0.03,0.05,2809.377149772854,1.0870861970301435,-0.002440221365165342
1,2,600,0.04,0.05,2738.56574839879,1.0884026820337966,-0.0036541982531906733
1,2,600,0.05,0.05,2646.037458818391,1.0839904848625084,0.0004144431490976168
1,2,600,0.06,0.05,2559.4456412019194,1.0591747378773624,0.023297911791319643
1,2,600,0.07,0.05,2491.9236680435542,1.0338406809605178,0.04665933215814925
1,2,600,0.08,0.05,2452.4350555350265,1.008651657128032,0.06988701244292561
1,2,600,0.09,0.05,2401.7823238265673,0.9834992235057257,0.09308095161453865
