i,j,delta,beta,priority,integral,max_delta,pi
1,2,420,0.17,0.05,10.086552753140964,0.06333788859907837,0.6949459438458292
1,2,420,0.18,0.05,10.060926722133841,0.06459001219529842,0.6889153452533961
1,2,420,0.19,0.05,10.043606112472608,0.06398361730242375,0.6918359229012164
1,2,420,0.2,0.05,10.014770393291245,0.0654754377328857,0.684650873266128
1,2,480,0.01,0.05,500.0464228798538,0.20762841223219575,-1.1449753629492237e-08
1,2,480,0.02,0.05,494.7425354629412,0.2076284494680514,-1.9078867779153582e-07
1,2,480,0.03,0.05,489.57555852069936,0.2078820621831654,-0.001221664840765576
1,2,480,0.04,0.05,484.5418387949329,0.20906719194326046,-0.006929601249483737
1,2,480,0.05,0.05,478.23664586862486,0.2076284098549016,0.0
1,2,480,0.06,0.05,429.9628634456048,0.18660751140463983,0.10124288128465637
1,2,480,0.07,0.05,377.11740230924124,0.16563161848236763,0.20226900259883937
1,2,480,0.08,0.05,325.51244768273045,0.14468581684026494,0.3031501953832969
1,2,480,0.09,0.05,275.34051326610216,0.12384708746722298,0.40351569636461654
1,2,480,0.1,0.05,226.3329044381372,0.10297686430951956,0.5040328807532476
1,2,480,0.11,0.05,178.7888558552906,0.08190218680329786,0.605534777921123
1,2,480,0.12,0.05,132.87160686341,0.06091483716460741,0.706616078179393
1,2,480,0.13,0.05,87.89666032064096,0.06119409181277745,0.7052711049728592
1,2,480,0.14,0.05,44.39931670259014,0.06321399010655697,0.6955426757314509
1,2,480,0.15,0.05,10.09976118879972,0.06411029011596817,0.6912258290627434
1,2,480,0.16,0.05,10.065526312085135,0.0616224906348182,0.703207809191997
1,2,480,0.17,0.05,10.04561197539618,0.06368002737888936,0.6932981020112261
1,2,480,0.18,0.05,10.020965432931213,0.06369204607578734,0.6932402164024775
1,2,480,0.19,0.05,9.996619014642928,0.06545157838437642,0.6847657869647202
1,2,480,0.2,0.05,9.969659487181845,0.06564015828700542,0.6838575302248995
1,2,540,0.01,0.05,498.9311312802448,0.20762841037672244,-2.5132439096635254e-09
1,2,540,0.02,0.05,492.52407594832806,0.20762842430259787,-6.958439007298432e-08
1,2,540,0.03,0.05,486.2930857092052,0.2079461068733055,-0.0015301230627634897
1,2,540,0.04,0.05,480.22990518124834,0.20918611465103848,-0.007502368280070407
1,2,540,0.05,0.05,472.59951299071975,0.2076284098549016,0.0
1,2,540,0.06,0.05,425.4182234644446,0.18660751140463983,0.10124288128465637
1,2,540,0.07,0.05,372.877074728557,0.16563161848236763,0.20226900259883937
1,2,540,0.08,0.05,321.5771478854262,0.14468581684026494,0.3031501953832969
1,2,540,0.09,0.05,271.7093251165044,0.12384708746722298,0.40351569636461654
1,2,540,0.1,0.05,223.00344756492714,0.10297686430951956,0.5040328807532476
1,2,540,0.11,0.05,175.7471408891939,0.08190218680329786,0.605534777921123
1,2,540,0.12,0.05,129.57948194775358,0.06091483716460741,0.706616078179393
1,2,540,0.13,0.05,85.5043916370588,0.05893064998005195,0.716172512127628
1,2,540,0.14,0.05,43.25807072123678,0.061665046530784744,0.703002847375855
1,2,540,0.15,0.05,10.07587573909258,0.06338809587174131,0.6947041307302827
1,2,540,0.16,0.05,10.055634069228226,0.06184263589435676,0.702147524331691
1,2,540,0.17,0.05,10.032582259595893,0.0626418297203846,0.6982983698417716
1,2,540,0.18,0.05,10.010160354985098,0.06450819249908436,0.6893094131763324
1,2,540,0.19,0.05,9.988778345483297,0.06458543878418369,0.6889373721577006
1,2,540,0.2,0.05,9.972185713426077,0.06585435066562999,0.6828259162045721
1,2,600,0.01,0.05,497.8088063403965,0.20762819966173762,1.0123526165431104e-06
1,2,600,0.02,0.05,490.3129387150708,0.20762667630756076,8.349278126507565e-06
1,2,600,0.03,0.05,483.0061215371711,0.2080027560965228,-0.0018029625227241294
1,2,600,0.04,0.05,475.87902993810815,0.20928908363713894,-0.007998297455525822
1,2,600,0.05,0.05,466.9822329658611,0.2076284098549016,0.0
1,2,600,0.06,0.05,420.7375173135738,0.18660751140463983,0.10124288128465637
1,2,600,0.07,0.05,368.46221533405577,0.16563161848236763,0.20226900259883937
1,2,600,0.08,0.05,317.42677001807516,0.14468581684026494,0.3031501953832969
1,2,600,0.09,0.05,267.8236320173443,0.12384708746722298,0.40351569636461654
1,2,600,0.1,0.05,219.37682211047624,0.10297686430951956,0.5040328807532476
1,2,600,0.11,0.05,172.3404109506723,0.08190218680329786,0.605534777921123
1,2,600,0.12,0.05,125.95328401927516,0.06091483716460741,0.706616078179393
1,2,600,0.13,0.05,83.14094577366706,0.056300776486691864,0.7288387628357944
1,2,600,0.14,0.05,42.127758324373545,0.06059304240474102,0.7081659371803423
1,2,600,0.15,0.05,10.051533114236111,0.06044476281362675,0.7088800956676988
1,2,600,0.16,0.05,10.019932520498239,0.06125307264884287,0.7049870357739156
1,2,600,0.17,0.05,10.007244748275028,0.06159183401130281,0.7033554605829451
1,2,600,0.18,0.05,9.982523072624868,0.06403658616439813,0.691580809152518
