i,j,delta,beta,priority,integral,max_delta,pi,L_x,v_x,w_x,q_max_x,rho_max_x,L_y,v_y,w_y,q_max_y,rho_max_y
1,2,360,0.13,0.05,90.353,0.0643146,0.690242,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.14,0.05,45.7935,0.0643689,0.68998,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.15,0.05,10.0888,0.064436,0.689657,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.16,0.05,10.0629,0.0649025,0.68741,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.17,0.05,10.0225,0.0636334,0.693522,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.18,0.05,10.006,0.0640626,0.691455,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.19,0.05,9.97502,0.0640886,0.69133,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.2,0.05,9.95416,0.0652948,0.685521,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.01,0.05,501.132,0.207628,-2.96141e-09,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.02,0.05,496.885,0.207628,-4.93463e-08,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.03,0.05,492.74,0.207754,-0.000605975,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.04,0.05,488.69,0.208833,-0.00580022,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.05,0.05,483.731,0.207628,0,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.06,0.05,434.195,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.07,0.05,380.976,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.08,0.05,328.998,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.09,0.05,278.447,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.1,0.05,229.057,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.11,0.05,181.156,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.12,0.05,134.917,0.0609148,0.706616,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.13,0.05,89.9507,0.0640256,0.691634,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.14,0.05,45.5476,0.0639082,0.692199,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.15,0.05,10.1401,0.0650739,0.686585,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.16,0.05,10.1078,0.0649575,0.687145,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.17,0.05,10.0866,0.0633379,0.694946,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.18,0.05,10.0609,0.06459,0.688915,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.19,0.05,10.0436,0.0639836,0.691836,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,420,0.2,0.05,10.0148,0.0654754,0.684651,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.01,0.05,500.046,0.207628,-1.14498e-08,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.02,0.05,494.743,0.207628,-1.90789e-07,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.03,0.05,489.576,0.207882,-0.00122166,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.04,0.05,484.542,0.209067,-0.0069296,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,480,0.05,0.05,478.237,0.207628,0,0.61,103,40,1933,67,0.23,103,37,1976,73
